2021-01-02_13:48:15 regensensor_aussen reread
2021-01-05_11:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: - Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-05_11:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_11:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_11:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_12:39:20 regensensor_aussen reading01User: 846.2
2021-01-05_12:39:20 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_12:39:20 regensensor_aussen reading01User: 846.2
2021-01-05_12:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_12:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: - Month: - Year: -
2021-01-05_12:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_12:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_12:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_13:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_13:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: - Month: - Year: -
2021-01-05_13:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_13:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_13:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_14:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_14:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: - Month: - Year: -
2021-01-05_14:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_14:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_14:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_15:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_15:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: - Month: - Year: -
2021-01-05_15:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_15:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_15:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_16:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_16:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: - Month: - Year: -
2021-01-05_16:59:55 regensensor_aussen reading01User: 846.2
